"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Recruitment Candidates","2","0","Search candidates by date range via calendar - negative scenarios","0"
"1","","0","Nationalities","0","0","Create a new nationality entry","0"
"0","","0","Recruitment Candidates","1","0","Search validation for invalid candidate name input","0"
"1","","0","Vacancies","0","0","Add new vacancy","0"
"0","","0","Directory","1","0","Validate empty results after applying filter","0"
"1","","0","Nationalities","0","0","Scrape and compare all nationalities in table","0"
"3","","1","Directory","0","0","Filters: Job Title","0"
"1","","0","PIM Reports","0","0","Create new report","0"
"0","","0","Recruitment Candidates","6","0","Sorting in table","0"
"0","","0","Recruitment Candidates","1","0","Create a candidate profile","0"
"1","","0","Nationalities","0","0","Edit nationality","0"
"1","","0","PIM Reports","0","0","Search existing report 'pedro' by name","0"
"0","","0","Recruitment Candidates","1","0","Validate required fields on candidate creation","0"
"0","","0","Recruitment Candidates","1","0","Search candidates - no records scenario","0"
"0","","0","Vacancies","1","0","Validation: empty required fields","0"
"0","","0","Recruitment Candidates","1","0","UI controls - filter panel visibility","0"
"0","","0","Vacancies","2","0","Vacancies filtering by Job Title","0"
"0","","0","PIM Reports","1","0","Search report with invalid name","0"
"1","","0","Nationalities","0","0","Add new nationality","0"
"2","","1","Recruitment Candidates","0","0","Search candidates by date range via calendar","0"
"0","","0","","1","0","","0"
"1","","0","Recruitment Candidates","0","0","Search candidates using autocomplete","0"
"1","","0","Nationalities","0","0","Validation: empty required fields","0"
"0","","0","PIM Reports","1","0","User can hide filter panel on Reports page","0"
"1","","0","Nationalities","0","0","Validation: nationality already exists","0"
"0","","0","PIM Reports","1","0","Delete existing report 'pedro'","0"
"1","","0","Nationalities","0","0","Create a new nationality entry: Ukraine","0"
"1","","0","Vacancies","0","0","Validation: vacancy already exists","0"
